Company_Name,Current Year,Years_to_Bankrupt,Bankruptcy,Total_Revenue,Gross_Profit,Net_Income,EBITDA,Total_Current_Assets,Total_Assets,Total_Current_Liabilities,Cash_from_Ops.,Net_Debt/EBITDA,Profit_Margin,Net_Debt,Net_Workng_Capital,Current_Ratio,Debt_to_Cash_Flow_From_Ops,Market_Capitalization,Market_Capitalization
"Sport Haley Holdings, Inc.",2005.00,16.00,0.00,19.90,6.28,-0.43,0.18,16.60,17.30,1.60,1.85,0.00,-0.02,0.00,15.00,10.38,0.00,11.10,14.30
"Inhibitor Therapeutics, Inc. (OTCPK:INTI)",2005.00,6.00,1.00,7.80,2.24,0.08,1.22,4.28,11.10,1.12,1.01,1.40,0.01,1.71,3.16,3.82,1.69,17.30,14.30
American Wagering Inc.,2005.00,16.00,0.00,12.50,4.10,0.42,0.38,5.40,7.85,3.73,-0.52,0.00,0.03,0.00,1.67,1.45,0.00,4.31,14.40
ImmuCell Corporation (NasdaqCM:ICCC),2005.00,16.00,0.00,4.98,3.35,0.71,1.29,6.79,9.96,0.70,0.77,0.00,0.14,0.00,6.09,9.74,0.00,14.50,14.50
"The Sports Club Company, Inc.",2005.00,16.00,0.00,56.20,14.60,-22.20,4.15,141.80,212.60,201.00,4.18,26.30,-0.40,109.15,-59.20,0.71,26.11,31.90,14.50
Cyanotech Corporation (NasdaqCM:CYAN),2005.00,16.00,0.00,10.40,3.03,-0.31,1.18,6.57,17.50,1.37,0.97,0.00,-0.03,0.00,5.20,4.80,0.00,27.20,14.60
"Steakhouse Partners, Inc.",2005.00,3.00,1.00,52.00,5.95,-0.46,1.73,2.62,30.70,12.30,0.00,9.79,-0.01,16.94,-9.68,0.21,,,14.60
Smith-Midland Corporation (NasdaqCM:SMID),2005.00,16.00,0.00,23.80,6.22,1.35,2.48,8.86,12.60,3.23,1.23,1.30,0.06,3.22,5.63,2.74,2.62,4.23,14.70
"The LGL Group, Inc. (AMEX:LGL)",2005.00,16.00,0.00,46.20,14.70,1.21,2.84,24.80,32.70,12.90,2.28,0.29,0.03,0.83,11.90,1.92,0.37,22.00,14.70
"Recycling Asset Holdings, Inc.",2005.00,16.00,0.00,117.40,7.61,1.10,3.50,8.98,17.90,9.87,3.86,0.00,0.01,0.00,-0.89,0.91,0.00,25.00,14.70
TAG Entertainment Corp.,2005.00,4.00,1.00,3.88,3.26,-1.85,0.09,4.95,7.39,3.71,-2.18,19.10,-0.48,1.62,1.24,1.33,-0.74,8.05,14.80
"Boss Holdings, Inc. (OTCPK:BSHI)",2005.00,16.00,0.00,54.20,13.60,0.69,1.97,27.10,35.40,4.55,-1.84,2.90,0.01,5.71,22.55,5.96,-3.10,14.70,14.80
Hanwha Aerospace USA,2005.00,16.00,0.00,35.00,5.97,3.30,4.63,13.30,23.80,6.22,4.30,1.45,0.09,6.71,7.08,2.14,1.56,8.67,14.90
US 1 Industries Inc.,2005.00,16.00,0.00,175.60,33.90,4.12,3.01,31.90,33.30,22.40,-1.60,3.32,0.02,9.99,9.50,1.42,-6.25,12.20,15.00
Automodular Corporation,2005.00,16.00,0.00,68.00,4.28,9.47,4.28,26.60,44.00,12.00,12.50,0.00,0.14,0.00,14.60,2.22,0.00,22.30,15.00
Saxon Oil Company Ltd,2005.00,16.00,0.00,1.79,1.55,0.19,0.72,0.70,3.33,0.14,1.05,0.00,0.11,0.00,0.56,5.09,0.00,7.94,15.20
Kreisler Manufacturing Corp.,2005.00,16.00,0.00,16.70,2.04,0.68,1.58,10.40,12.00,1.34,-0.40,0.00,0.04,0.00,9.06,7.76,0.00,8.93,15.20
MGC Diagnostics Corporation,2005.00,16.00,0.00,25.70,12.90,-0.13,1.35,10.40,16.80,4.08,-0.52,0.00,0.00,0.00,6.32,2.55,0.00,7.57,15.30
"RBC Life Sciences, Inc. (OTCPK:RBCL)",2005.00,16.00,0.00,19.40,11.90,0.59,1.46,6.13,12.70,4.99,0.81,1.05,0.03,1.53,1.14,1.23,1.88,3.41,15.40
Good Times Restaurants Inc. (NasdaqCM:GTIM),2005.00,16.00,0.00,17.50,2.22,-0.51,0.56,2.86,9.29,1.60,0.99,0.00,-0.03,0.00,1.26,1.79,0.00,8.13,15.60
"Park City Group, Inc. (NasdaqCM:PCYG)",2005.00,16.00,0.00,6.51,4.90,-0.15,1.13,0.99,1.32,3.93,1.95,3.57,-0.02,4.03,-2.94,0.25,2.07,15.00,15.60
SmartPros Ltd.,2005.00,16.00,0.00,10.40,6.27,0.67,1.04,8.54,11.40,4.23,1.17,0.00,0.06,0.00,4.31,2.02,0.00,19.30,15.60
"Taylor Devices, Inc. (NasdaqCM:TAYD)",2005.00,16.00,0.00,12.60,3.74,0.35,1.09,9.01,13.80,2.59,1.78,0.55,0.03,0.60,6.42,3.48,0.34,13.80,15.70
Boyd Group Services Inc. (TSX:BYD),2005.00,16.00,0.00,156.30,70.10,0.90,10.10,22.20,90.10,24.50,5.64,3.37,0.01,34.04,-2.30,0.91,6.03,51.30,15.70
Unilens Vision Inc.,2005.00,16.00,0.00,5.81,2.49,2.41,0.22,4.38,7.71,0.85,1.55,0.00,0.41,0.00,3.53,5.18,0.00,9.19,15.80
Pacific Insight Electronics Corp.,2005.00,16.00,0.00,30.10,7.38,2.22,4.06,10.40,17.70,3.10,2.31,0.55,0.07,2.23,7.30,3.35,0.96,14.10,15.90
